11-30 12:06:11 Bk=604 ckN=3:03-0/3 0990ms:1036ms[00-03-0-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=3897 V=6-0
11-30 11:36:11 Bk=604 ckN=3:03-0/3 0960ms:1042ms[00-03-0-0] codeN=4:2:0:0-0:0:0:0/6 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_929_H_21_K_604_K_ ck=0ac0 V=6-0
11-30 11:06:12 Bk=604 ckN=3:03-0/3 0907ms:1037ms[00-03-0-0] codeN=4:2:0:0-1:0:0:0/7 chkRes=2:OK:OK:Og:Og:yes checkRes=309_H_344_H_496_H_650_h_929_H_21_K_604_K_ ck=3897 V=6-1
11-30 10:06:11 Bk=604 ckN=3:03-0/3 0977ms:1046ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:No:No:NA checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=3897 V=7-0
11-30 05:36:11 Bk=604 ckN=3:03-0/3 0915ms:1013ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=3897 V=7-0
11-30 05:06:12 Bk=604 ckN=3:03-0/3 0914ms: 999ms[00-02-1-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=0a6a V=7-0
11-30 04:36:14 Bk=604 ckN=3:03-0/3 1075ms:1239ms[00-02-1-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=0ac0 V=7-0
11-30 04:06:12 Bk=604 ckN=3:03-0/3 1008ms:1025ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=0a6a V=7-0
11-30 03:36:12 Bk=604 ckN=3:03-0/3 0917ms:1095ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:Og:no checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=3897 V=7-0
11-30 03:06:12 Bk=604 ckN=3:03-0/3 0860ms:1114ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:No:Og:NA checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=3897 V=7-0
11-30 02:36:12 Bk=604 ckN=3:03-0/3 0979ms:1054ms[00-03-0-0] codeN=5:2:0:0-0:0:0:0/7 chkRes=2:OK:OK:Og:No:NA checkRes=309_H_344_H_496_H_650_H_929_H_21_K_604_K_ ck=3897 V=7-0
